Reference,X_mm,Y_mm,Rotation_deg,Side
J1,55.00,113.00,90.0,F
D1,55.00,100.00,0.0,F
C1,64.00,96.00,0.0,F
C2,69.50,96.00,0.0,F
Q1,62.50,104.00,0.0,F
Q2,58.00,100.00,0.0,B
U1,68.00,104.00,0.0,F
R1,63.00,100.00,0.0,B
R2,66.00,100.00,0.0,B
R3,69.00,100.00,0.0,B
C3,72.00,100.00,0.0,B
R4,63.00,102.70,0.0,B
R5,66.00,102.70,0.0,B
TP1,69.00,105.40,0.0,B
R6,69.00,102.70,0.0,B
R7,72.00,102.70,0.0,B
R8,63.00,105.40,0.0,B
R9,66.00,105.40,0.0,B
R10,73.50,104.00,90.0,F
U2,75.00,109.00,0.0,B
C4,72.00,114.00,0.0,B
R11,75.00,114.00,0.0,B
TP2,78.00,114.00,0.0,B
TP3,81.00,114.00,0.0,B
TP4,84.00,114.00,0.0,B
U3,80.00,104.00,0.0,F
C10,77.00,98.00,0.0,F
C11,72.50,98.50,0.0,F
C12,85.50,95.50,0.0,F
L1,89.50,104.00,0.0,F
C13,78.00,110.50,0.0,F
C14,82.50,110.50,0.0,F
C15,87.00,110.50,0.0,F
R20,78.00,101.00,0.0,B
R21,81.00,101.00,0.0,B
R22,84.00,101.00,0.0,B
C16,78.00,103.70,0.0,B
C17,81.00,103.70,0.0,B
C18,84.00,103.70,0.0,B
C19,55.50,91.00,0.0,F
C20,88.00,114.00,0.0,B
C21,91.60,114.00,0.0,B
C22,95.20,114.00,0.0,B
U4,67.00,116.50,0.0,F
C23,64.50,111.50,0.0,F
C24,68.00,111.50,0.0,F
C25,71.50,111.50,0.0,F
TP10,58.00,117.00,0.0,B
TP11,61.40,117.00,0.0,B
TP12,64.80,117.00,0.0,B
TP13,68.20,117.00,0.0,B
C26,82.00,98.00,0.0,F
UCM1,99.00,110.00,0.0,F
C73,92.50,82.00,0.0,F
C74,92.50,95.00,0.0,F
U13,88.00,89.00,0.0,F
R70,86.00,81.00,0.0,B
R71,89.60,81.00,0.0,B
Q13,86.00,84.00,0.0,B
R72,89.60,84.00,0.0,B
C75,85.00,84.00,0.0,F
C76,93.00,93.00,0.0,F
